,AAPL,AMZN,GOOGL,MSFT
2021-04-22,128.97043639137087,165.7585970017805,112.83896987235578,249.6524378949301
2021-04-23,132.06828834402526,167.255612979992,114.74465720864342,253.8121040969269
2021-04-26,131.56266362413706,170.55551749704833,114.73159771109712,253.54584207796194
2021-04-27,132.3833782060654,171.2660948981348,114.52722746181435,254.47983866298952
2021-04-28,130.56179133236353,173.25804185818586,117.41705131207283,248.27105577455004
2021-04-29,131.37916682807108,173.84710875722817,120.12125255242898,246.07760123550256
2021-04-30,128.57549097294392,173.54240437890522,119.13730148024804,244.1440003887453
2021-05-03,130.1334138005153,169.68779490682724,117.9705192220232,244.81845207470997
2021-05-04,125.3028701527496,165.6004482040872,116.1630996655546,240.79894281165843
2021-05-05,125.8526935622771,163.5477772528952,114.92781170464873,239.68115412281392
2021-05-06,126.53134280027909,165.3499017641033,116.06566349166908,241.3743287089649
2021-05-07,128.11042058372055,164.6562971691953,116.35708508432108,244.52196947324344
2021-05-10,124.2264226773427,159.6390716570491,114.7537906185603,240.39606307435434
2021-05-11,124.06767781514685,160.78594372218285,113.35307557417025,239.13483095581725
2021-05-12,120.21596305575038,157.82056049159317,110.45778758635963,232.77309076393945
2021-05-13,122.70161147965474,157.8903908223511,110.93506134336258,235.18342482450888
2021-05-14,124.34060156383586,161.12398863808343,112.92743213549363,239.23104786202805
2021-05-17,124.41175526224649,163.453115680398,114.17126118889912,238.41121490124263
2021-05-18,122.12120169651413,161.8258369721128,112.77018010681606,235.72356996640664
2021-05-19,122.7991404766792,161.54388468800127,113.7420215491343,236.74760128410554
2021-05-20,124.21387942336924,162.11573356183692,114.73691414396086,238.2073401384601
2021-05-21,123.41199902973425,160.51467780935656,115.23173627845051,238.84359655447466
2021-05-24,124.42948597777334,162.02052220270997,117.40465278981044,242.97410041857395
2021-05-25,124.63591885272224,163.0333926547806,118.61332095304829,244.08295898324025
2021-05-26,124.34904921598142,163.2217446541436,119.07221545425801,244.8599717985453
2021-05-27,122.89688840250817,161.661546117597,118.4318460460277,242.52257596068014
2021-05-28,122.4565634712202,161.021963975354,118.05461686323855,243.09335096558942
2021-06-01,121.68870988165753,160.82457272663336,118.36282964268358,240.00225857755763
2021-06-02,122.6535752602542,161.83627484607317,118.66984316298601,241.33644752699945
2021-06-03,121.1707177665117,159.26891338793575,116.84143743816179,238.28167881007568
2021-06-04,123.44236808895667,160.18735889213264,119.5453674556884,243.5466980765291
2021-06-07,123.30128912384684,159.96496626325944,119.78683426296188,245.56375945083948
2021-06-08,124.4751839862804,163.17368659766066,120.50404265799813,246.30433064127502
2021-06-09,124.43857393106138,164.2732943405646,120.53826813654754,246.04802832823722
2021-06-10,124.14080588608356,167.38412768019776,121.93183506104472,249.95375225486367
2021-06-11,124.58202851605962,167.76210614397934,121.78430056407011,250.3372903774784
2021-06-14,128.04116158152902,169.18220638409986,122.13718012173338,252.61179432010186
2021-06-15,127.1364140260858,169.4314525861515,121.65381874133448,251.6489497022713
2021-06-16,127.94141813821258,171.0042311130205,120.32042283637713,250.41449608802856
2021-06-17,129.11722704859648,174.6359584309957,121.53358642930284,253.32066985941088
2021-06-18,128.382346799926,174.79624357186492,119.86974841582564,252.4953682883768
2021-06-21,129.56562898177168,172.88756774182846,121.5651026773203,255.1694890019235
2021-06-22,131.66384271675943,175.5547396676038,122.17597568642952,257.6141868559195
2021-06-23,131.2397762258436,175.39728593422686,122.38281523206287,258.4651325282172
2021-06-24,131.04732206562588,172.79682015834126,122.62573497127894,258.9178005784483
2021-06-25,130.87727951564625,170.26132335437345,122.55320513214517,258.6918335664677
2021-06-28,132.2375325613653,172.12293792719646,122.50471180127006,260.6151105153813
2021-06-29,133.75140054084514,172.8629774836457,121.90278390283675,263.7749049322787
2021-06-30,134.6202046619073,172.12415032618082,121.84929584279539,263.8467998634104
2021-07-01,134.91587793346395,171.8990188152284,121.90995119631495,264.3118106724059
2021-07-02,137.44688556979787,175.77713932880974,124.86713489653413,269.5597142914231
2021-07-06,139.45283056798226,184.21529672857426,126.27748833722266,269.9148811906731
2021-07-07,142.04875401996668,185.62167096668523,127.12677082351131,272.77761815183925
2021-07-08,141.0179687674645,186.80447174853697,125.83746220673247,270.1660821133792
2021-07-09,142.7297533033001,186.67105406113063,125.73840316216939,271.08198074737294
2021-07-12,142.03893278535102,186.2388748991,126.64770480236436,269.62251860035485
2021-07-13,143.44677534604514,184.5019284493339,126.91520410743085,273.772529886344
2021-07-14,146.21020864188102,184.2771280280374,127.79707021928682,273.9818737122308
2021-07-15,146.44392455998715,181.92736561979842,127.0408587683091,274.65321372860154
2021-07-16,143.84722274529105,179.09273316641935,127.02337133027311,272.9503617395101
2021-07-19,140.7282372348845,177.5165567889245,124.96174159827484,270.68783682149336
2021-07-20,143.24482617402575,178.98944906936168,125.890781980609,271.3949123434629
2021-07-21,142.98133077127636,179.53008128444608,127.15501273565884,273.73156420029613
2021-07-22,144.37331776168077,182.25772594633807,128.33979246214935,277.9613904962228
2021-07-23,145.91703522243193,183.15825199443046,132.5479903972167,281.0980696991579
2021-07-26,146.74754506905205,185.2204874297846,134.822129742664,282.2513427304984
2021-07-27,144.12552367579121,181.92652688672712,133.2126257806999,278.8763017650798
2021-07-28,143.07328320206014,181.44468145594098,136.49523472277767,279.5338508345057
2021-07-29,142.86966680523147,180.10242233227444,136.5515891639054,278.28042380310194
2021-07-30,143.46330044085443,166.69461405313885,135.09056363801403,278.1118112425927
2021-08-02,142.926817396719,166.09417327632175,134.68837257459106,277.0768833363701
2021-08-03,144.92914794954606,168.25449854002,135.12196880989518,279.3587418061193
2021-08-04,144.36136971224954,167.74881173374123,134.95146309319563,278.8202582440358
2021-08-05,144.62522817796133,168.9075349784497,136.11484780934578,281.53478802601546
2021-08-06,143.83242929676857,166.90553745644226,136.2413103083671,281.79709499997136
2021-08-09,143.9720223968705,167.01040286633094,137.3720010779752,280.7444301172609
2021-08-10,143.11307152284184,166.1831041213992,137.4129026498475,279.3291886911968
2021-08-11,143.78960143117024,164.21907202835322,136.76931075355446,279.3126767339637
2021-08-12,146.16529798878094,165.10456088166652,136.983461030167,281.4704896086724
2021-08-13,146.9622989982891,164.5868486071745,137.52143030219267,284.6993501935694
2021-08-16,148.53507522889322,164.82192640464942,137.8361736404494,286.471667761747
2021-08-17,148.00505531451165,161.88519211640823,136.81610372694712,285.55852059198736
2021-08-18,144.41332322106666,159.76154543358143,135.42197243422044,284.10161043985437
2021-08-19,144.27297114265554,159.30503579649368,135.57793088578063,288.70739034901084
2021-08-20,145.82018855311048,159.65423111097178,137.12645300316206,295.4120890240228
2021-08-23,147.12041740183207,163.20525653152785,139.79518350273653,297.279819995288
2021-08-24,147.28228632113257,165.20169611962177,141.67144075577588,295.96043929484733
2021-08-25,146.24901401865606,164.92473285969308,142.60034510310774,294.82293173555587
2021-08-26,145.20119257463574,165.71762521116943,142.43284852699935,292.21158207685676
2021-08-27,146.2405668702818,167.4166301428998,144.04844915411817,292.6331013107591
2021-08-30,150.29657533240936,171.24154496047606,144.96192049423465,295.43748988781874
2021-08-31,149.64385105914195,173.59424591210936,144.74175424934043,294.64032590374353
